[Name],,,,,
Momentum and Mass,,,,,
,,,,,
[Data],,,,,
Accumulated Timestep,RMS P-Mass,RMS U-Mom,RMS V-Mom,RMS W-Mom,Current Timestep
279,8.14E-05,1.29E-05,3.13E-05,2.86E-05,1.54E+02
280,7.40E-05,1.43E-05,2.64E-05,2.64E-05,1.55E+02
281,8.46E-05,1.33E-05,2.43E-05,2.50E-05,1.56E+02
282,7.99E-05,6.42E-06,1.82E-05,1.71E-05,1.57E+02
283,9.46E-05,1.44E-05,5.65E-05,4.43E-05,1.58E+02
284,6.98E-05,1.05E-05,4.43E-05,3.48E-05,1.59E+02
285,9.52E-05,9.02E-06,1.29E-05,1.70E-05,1.60E+02
286,6.25E-05,1.22E-05,2.06E-05,2.91E-05,1.61E+02
287,8.12E-05,1.03E-05,3.28E-05,5.12E-05,1.62E+02
288,5.43E-05,8.87E-06,1.60E-05,2.52E-05,1.63E+02
289,5.43E-05,6.72E-06,1.23E-05,1.80E-05,1.64E+02
290,6.66E-05,6.78E-06,9.72E-06,1.32E-05,1.65E+02
291,5.78E-05,7.06E-06,1.49E-05,1.34E-05,1.66E+02
292,7.09E-05,1.32E-05,2.96E-05,5.53E-05,1.67E+02
293,8.95E-05,1.03E-05,2.57E-05,5.18E-05,1.68E+02
294,7.73E-05,1.21E-05,2.49E-05,2.78E-05,1.69E+02
295,7.06E-05,1.11E-05,3.62E-05,3.62E-05,1.70E+02
296,6.67E-05,8.03E-06,3.93E-05,3.20E-05,1.71E+02
297,9.18E-05,1.37E-05,5.78E-05,5.89E-05,1.72E+02
298,8.52E-05,1.09E-05,3.44E-05,5.10E-05,1.73E+02
299,6.94E-05,6.46E-06,1.29E-05,2.05E-05,1.74E+02
300,8.78E-05,1.58E-05,3.08E-05,3.96E-05,1.75E+02
301,6.17E-05,7.43E-06,1.43E-05,1.98E-05,1.76E+02
302,8.85E-05,1.51E-05,1.90E-05,1.90E-05,1.77E+02
303,6.32E-05,6.32E-06,1.04E-05,1.34E-05,1.78E+02
304,7.22E-05,1.06E-05,3.33E-05,2.60E-05,1.79E+02
305,5.89E-05,6.11E-06,1.36E-05,9.62E-06,1.80E+02
306,8.13E-05,9.65E-06,1.39E-05,2.95E-05,1.81E+02
307,6.50E-05,9.70E-06,1.35E-05,2.98E-05,1.82E+02
308,7.08E-05,1.03E-05,2.35E-05,2.05E-05,1.83E+02
309,6.31E-05,8.73E-06,2.02E-05,1.43E-05,1.84E+02
310,6.47E-05,7.54E-06,1.69E-05,2.00E-05,1.85E+02
311,6.54E-05,7.23E-06,1.67E-05,1.84E-05,1.86E+02
312,5.96E-05,1.09E-05,2.01E-05,2.62E-05,1.87E+02
313,5.56E-05,7.55E-06,1.49E-05,2.07E-05,1.88E+02
314,7.05E-05,7.03E-06,8.52E-06,1.03E-05,1.89E+02
315,8.53E-05,8.70E-06,9.39E-06,1.39E-05,1.90E+02
316,9.48E-05,7.20E-06,1.34E-05,1.43E-05,1.91E+02
317,6.96E-05,1.79E-05,5.29E-05,6.80E-05,1.92E+02
318,7.10E-05,1.37E-05,4.51E-05,5.92E-05,1.93E+02
319,5.87E-05,9.01E-06,1.55E-05,1.89E-05,1.94E+02
320,8.46E-05,1.12E-05,3.14E-05,3.93E-05,1.95E+02
321,6.03E-05,6.35E-06,1.33E-05,1.67E-05,1.96E+02
322,8.44E-05,1.88E-05,2.52E-05,3.75E-05,1.97E+02
323,5.75E-05,8.04E-06,1.50E-05,1.90E-05,1.98E+02
324,9.22E-05,1.37E-05,4.17E-05,4.85E-05,1.99E+02
325,7.89E-05,1.06E-05,3.91E-05,4.27E-05,2.00E+02
326,5.91E-05,7.02E-06,1.71E-05,1.59E-05,2.01E+02
327,8.89E-05,8.57E-06,1.62E-05,1.65E-05,2.02E+02
328,5.92E-05,6.04E-06,7.74E-06,1.09E-05,2.03E+02
329,7.53E-05,7.62E-06,1.44E-05,1.80E-05,2.04E+02
330,8.78E-05,1.22E-05,2.08E-05,2.35E-05,2.05E+02
331,9.47E-05,2.60E-05,5.13E-05,5.62E-05,2.06E+02
332,8.18E-05,2.07E-05,4.43E-05,4.65E-05,2.07E+02
333,9.86E-05,1.60E-05,2.76E-05,2.83E-05,2.08E+02
334,8.72E-05,1.26E-05,3.54E-05,1.93E-05,2.09E+02
335,8.18E-05,9.25E-06,2.81E-05,1.57E-05,2.10E+02
336,7.66E-05,1.98E-05,2.95E-05,4.19E-05,2.11E+02
337,7.05E-05,1.55E-05,3.16E-05,3.93E-05,2.12E+02
338,6.12E-05,1.18E-05,2.12E-05,1.86E-05,2.13E+02
339,7.65E-05,6.56E-06,7.98E-06,1.31E-05,2.14E+02
340,6.79E-05,8.82E-06,1.48E-05,1.85E-05,2.15E+02
341,7.66E-05,1.16E-05,4.30E-05,3.35E-05,2.16E+02
342,5.72E-05,7.22E-06,1.75E-05,1.29E-05,2.17E+02
343,5.72E-05,7.74E-06,2.09E-05,1.67E-05,2.18E+02
344,5.78E-05,1.14E-05,3.82E-05,3.36E-05,2.19E+02
345,8.07E-05,1.73E-05,5.82E-05,4.48E-05,2.20E+02
346,5.98E-05,1.28E-05,4.09E-05,3.16E-05,2.21E+02
347,9.20E-05,1.50E-05,5.21E-05,3.75E-05,2.22E+02
348,5.90E-05,1.19E-05,2.27E-05,2.07E-05,2.23E+02
349,7.16E-05,1.36E-05,2.71E-05,2.81E-05,2.24E+02
350,8.25E-05,1.45E-05,2.66E-05,2.45E-05,2.25E+02
351,8.10E-05,1.21E-05,1.45E-05,2.33E-05,2.26E+02
352,5.30E-05,1.09E-05,1.02E-05,1.69E-05,2.27E+02
353,8.21E-05,1.42E-05,1.69E-05,2.61E-05,2.28E+02
354,7.84E-05,1.19E-05,4.47E-05,1.98E-05,2.29E+02
355,8.47E-05,8.98E-06,3.67E-05,1.98E-05,2.30E+02
356,6.26E-05,1.13E-05,1.60E-05,2.59E-05,2.31E+02
357,6.04E-05,1.16E-05,2.41E-05,3.29E-05,2.32E+02
358,6.91E-05,5.73E-06,1.16E-05,1.40E-05,2.33E+02
359,5.42E-05,4.46E-06,7.86E-06,8.69E-06,2.34E+02
360,7.82E-05,7.66E-06,1.22E-05,2.10E-05,2.35E+02
361,8.59E-05,9.85E-06,1.73E-05,1.68E-05,2.36E+02
362,6.42E-05,7.08E-06,1.27E-05,8.77E-06,2.37E+02
363,6.24E-05,7.98E-06,1.92E-05,9.71E-06,2.38E+02
364,9.01E-05,9.41E-06,3.26E-05,1.57E-05,2.39E+02
365,9.69E-05,9.75E-06,1.69E-05,2.40E-05,2.40E+02
366,6.85E-05,1.46E-05,1.75E-05,1.72E-05,2.41E+02
